colour	x	key	showSelectedlegendcolour	PANEL	group
#FF0000	-2	pred	prediction	1	1
#FF0000	-1.9748743718593	pred	prediction	1	2
#FF0000	-1.94974874371859	pred	prediction	1	3
#FF0000	-1.92462311557789	pred	prediction	1	4
#FF0000	-1.89949748743719	pred	prediction	1	5
#FF0000	-1.87437185929648	pred	prediction	1	6
#FF0000	-1.84924623115578	pred	prediction	1	7
#FF0000	-1.82412060301508	pred	prediction	1	8
#FF0000	-1.79899497487437	pred	prediction	1	9
#FF0000	-1.77386934673367	pred	prediction	1	10
#FF0000	-1.74874371859296	pred	prediction	1	11
#FF0000	-1.72361809045226	pred	prediction	1	12
#FF0000	-1.69849246231156	pred	prediction	1	13
#FF0000	-1.67336683417085	pred	prediction	1	14
#FF0000	-1.64824120603015	pred	prediction	1	15
#FF0000	-1.62311557788945	pred	prediction	1	16
#FF0000	-1.59798994974874	pred	prediction	1	17
#FF0000	-1.57286432160804	pred	prediction	1	18
#FF0000	-1.54773869346734	pred	prediction	1	19
#FF0000	-1.52261306532663	pred	prediction	1	20
#FF0000	-1.49748743718593	pred	prediction	1	21
#FF0000	-1.47236180904523	pred	prediction	1	22
#FF0000	-1.44723618090452	pred	prediction	1	23
#FF0000	-1.42211055276382	pred	prediction	1	24
#FF0000	-1.39698492462312	pred	prediction	1	25
#FF0000	-1.37185929648241	pred	prediction	1	26
#FF0000	-1.34673366834171	pred	prediction	1	27
#FF0000	-1.32160804020101	pred	prediction	1	28
#FF0000	-1.2964824120603	pred	prediction	1	29
#FF0000	-1.2713567839196	pred	prediction	1	30
#FF0000	-1.24623115577889	pred	prediction	1	31
#FF0000	-1.22110552763819	pred	prediction	1	32
#FF0000	-1.19597989949749	pred	prediction	1	33
#FF0000	-1.17085427135678	pred	prediction	1	34
#FF0000	-1.14572864321608	pred	prediction	1	35
#FF0000	-1.12060301507538	pred	prediction	1	36
#FF0000	-1.09547738693467	pred	prediction	1	37
#FF0000	-1.07035175879397	pred	prediction	1	38
#FF0000	-1.04522613065327	pred	prediction	1	39
#FF0000	-1.02010050251256	pred	prediction	1	40
#FF0000	-0.994974874371859	pred	prediction	1	41
#FF0000	-0.969849246231156	pred	prediction	1	42
#FF0000	-0.944723618090452	pred	prediction	1	43
#FF0000	-0.919597989949749	pred	prediction	1	44
#FF0000	-0.894472361809045	pred	prediction	1	45
#FF0000	-0.869346733668342	pred	prediction	1	46
#FF0000	-0.844221105527638	pred	prediction	1	47
#FF0000	-0.819095477386935	pred	prediction	1	48
#FF0000	-0.793969849246231	pred	prediction	1	49
#FF0000	-0.768844221105528	pred	prediction	1	50
#FF0000	-0.743718592964824	pred	prediction	1	51
#FF0000	-0.71859296482412	pred	prediction	1	52
#FF0000	-0.693467336683417	pred	prediction	1	53
#FF0000	-0.668341708542713	pred	prediction	1	54
#FF0000	-0.64321608040201	pred	prediction	1	55
#FF0000	-0.618090452261306	pred	prediction	1	56
#FF0000	-0.592964824120603	pred	prediction	1	57
#FF0000	-0.567839195979899	pred	prediction	1	58
#FF0000	-0.542713567839196	pred	prediction	1	59
#FF0000	-0.517587939698492	pred	prediction	1	60
#FF0000	-0.492462311557789	pred	prediction	1	61
#FF0000	-0.467336683417085	pred	prediction	1	62
#FF0000	-0.442211055276382	pred	prediction	1	63
#FF0000	-0.417085427135678	pred	prediction	1	64
#FF0000	-0.391959798994975	pred	prediction	1	65
#FF0000	-0.366834170854271	pred	prediction	1	66
#FF0000	-0.341708542713568	pred	prediction	1	67
#FF0000	-0.316582914572864	pred	prediction	1	68
#FF0000	-0.291457286432161	pred	prediction	1	69
#FF0000	-0.266331658291457	pred	prediction	1	70
#FF0000	-0.241206030150754	pred	prediction	1	71
#FF0000	-0.21608040201005	pred	prediction	1	72
#FF0000	-0.190954773869347	pred	prediction	1	73
#FF0000	-0.165829145728643	pred	prediction	1	74
#FF0000	-0.14070351758794	pred	prediction	1	75
#FF0000	-0.115577889447236	pred	prediction	1	76
#FF0000	-0.0904522613065326	pred	prediction	1	77
#FF0000	-0.0653266331658291	pred	prediction	1	78
#FF0000	-0.0402010050251256	pred	prediction	1	79
#FF0000	-0.0150753768844221	pred	prediction	1	80
#FF0000	0.0100502512562817	pred	prediction	1	81
#FF0000	0.0351758793969852	pred	prediction	1	82
#FF0000	0.0603015075376887	pred	prediction	1	83
#FF0000	0.0854271356783922	pred	prediction	1	84
#FF0000	0.110552763819096	pred	prediction	1	85
#FF0000	0.135678391959799	pred	prediction	1	86
#FF0000	0.160804020100503	pred	prediction	1	87
#FF0000	0.185929648241206	pred	prediction	1	88
#FF0000	0.21105527638191	pred	prediction	1	89
#FF0000	0.236180904522613	pred	prediction	1	90
#FF0000	0.261306532663317	pred	prediction	1	91
#FF0000	0.28643216080402	pred	prediction	1	92
#FF0000	0.311557788944724	pred	prediction	1	93
#FF0000	0.336683417085427	pred	prediction	1	94
#FF0000	0.361809045226131	pred	prediction	1	95
#FF0000	0.386934673366834	pred	prediction	1	96
#FF0000	0.412060301507538	pred	prediction	1	97
#FF0000	0.437185929648241	pred	prediction	1	98
#FF0000	0.462311557788945	pred	prediction	1	99
#FF0000	0.487437185929648	pred	prediction	1	100
#FF0000	0.512562814070352	pred	prediction	1	101
#FF0000	0.537688442211055	pred	prediction	1	102
#FF0000	0.562814070351759	pred	prediction	1	103
#FF0000	0.587939698492463	pred	prediction	1	104
#FF0000	0.613065326633166	pred	prediction	1	105
#FF0000	0.63819095477387	pred	prediction	1	106
#FF0000	0.663316582914573	pred	prediction	1	107
#FF0000	0.688442211055277	pred	prediction	1	108
#FF0000	0.71356783919598	pred	prediction	1	109
