x	y	key	label	showSelected1	PANEL	group
50	0.3	neighbors	23 nearest neighbors	23	2	1
50	0.3	neighbors	24 nearest neighbors	24	2	1
50	0.3	neighbors	25 nearest neighbors	25	2	1
50	0.3	neighbors	26 nearest neighbors	26	2	1
50	0.3	neighbors	27 nearest neighbors	27	2	1
50	0.3	neighbors	28 nearest neighbors	28	2	1
50	0.3	neighbors	29 nearest neighbors	29	2	1
50	0.3	neighbors	30 nearest neighbors	30	2	1
50	0.3	neighbors	31 nearest neighbors	31	2	1
50	0.3	neighbors	32 nearest neighbors	32	2	1
50	0.3	neighbors	33 nearest neighbors	33	2	1
50	0.3	neighbors	34 nearest neighbors	34	2	1
50	0.3	neighbors	35 nearest neighbors	35	2	1
50	0.3	neighbors	36 nearest neighbors	36	2	1
50	0.3	neighbors	37 nearest neighbors	37	2	1
50	0.3	neighbors	38 nearest neighbors	38	2	1
50	0.3	neighbors	39 nearest neighbors	39	2	1
50	0.3	neighbors	40 nearest neighbors	40	2	1
50	0.3	neighbors	41 nearest neighbors	41	2	1
50	0.3	neighbors	42 nearest neighbors	42	2	1
50	0.3	neighbors	43 nearest neighbors	43	2	1
50	0.3	neighbors	44 nearest neighbors	44	2	1
50	0.3	neighbors	45 nearest neighbors	45	2	1
50	0.3	neighbors	46 nearest neighbors	46	2	1
50	0.3	neighbors	47 nearest neighbors	47	2	1
50	0.3	neighbors	48 nearest neighbors	48	2	1
50	0.3	neighbors	49 nearest neighbors	49	2	1
50	0.3	neighbors	50 nearest neighbors	50	2	1
50	0.3	neighbors	1 nearest neighbor	1	3	1
50	0.3	neighbors	2 nearest neighbors	2	3	1
50	0.3	neighbors	3 nearest neighbors	3	3	1
50	0.3	neighbors	4 nearest neighbors	4	3	1
50	0.3	neighbors	5 nearest neighbors	5	3	1
50	0.3	neighbors	6 nearest neighbors	6	3	1
50	0.3	neighbors	7 nearest neighbors	7	3	1
50	0.3	neighbors	8 nearest neighbors	8	3	1
50	0.3	neighbors	9 nearest neighbors	9	3	1
50	0.3	neighbors	10 nearest neighbors	10	3	1
50	0.3	neighbors	11 nearest neighbors	11	3	1
50	0.3	neighbors	12 nearest neighbors	12	3	1
50	0.3	neighbors	13 nearest neighbors	13	3	1
50	0.3	neighbors	14 nearest neighbors	14	3	1
50	0.3	neighbors	15 nearest neighbors	15	3	1
50	0.3	neighbors	16 nearest neighbors	16	3	1
50	0.3	neighbors	17 nearest neighbors	17	3	1
50	0.3	neighbors	18 nearest neighbors	18	3	1
50	0.3	neighbors	19 nearest neighbors	19	3	1
50	0.3	neighbors	20 nearest neighbors	20	3	1
50	0.3	neighbors	21 nearest neighbors	21	3	1
50	0.3	neighbors	22 nearest neighbors	22	3	1
50	0.3	neighbors	23 nearest neighbors	23	3	1
50	0.3	neighbors	24 nearest neighbors	24	3	1
50	0.3	neighbors	25 nearest neighbors	25	3	1
50	0.3	neighbors	26 nearest neighbors	26	3	1
50	0.3	neighbors	27 nearest neighbors	27	3	1
