colour	x	y	key	label	showSelectedlegendcolour	showSelected1	PANEL	group
#7F7F7F	50	0.15	train	train error: 1.3120	train	31	2	1
#000000	50	0	validation	validation error: 1.4956	validation	31	2	2
#7F7F7F	50	0.15	train	train error: 1.3647	train	32	2	1
#000000	50	0	validation	validation error: 1.5272	validation	32	2	2
#7F7F7F	50	0.15	train	train error: 1.4298	train	33	2	1
#000000	50	0	validation	validation error: 1.5657	validation	33	2	2
#7F7F7F	50	0.15	train	train error: 1.4549	train	34	2	1
#000000	50	0	validation	validation error: 1.5761	validation	34	2	2
#7F7F7F	50	0.15	train	train error: 1.5189	train	35	2	1
#000000	50	0	validation	validation error: 1.6012	validation	35	2	2
#7F7F7F	50	0.15	train	train error: 1.5967	train	36	2	1
#000000	50	0	validation	validation error: 1.6593	validation	36	2	2
#7F7F7F	50	0.15	train	train error: 1.6514	train	37	2	1
#000000	50	0	validation	validation error: 1.7016	validation	37	2	2
#7F7F7F	50	0.15	train	train error: 1.7385	train	38	2	1
#000000	50	0	validation	validation error: 1.7296	validation	38	2	2
#7F7F7F	50	0.15	train	train error: 1.8558	train	39	2	1
#000000	50	0	validation	validation error: 1.7808	validation	39	2	2
#7F7F7F	50	0.15	train	train error: 1.9351	train	40	2	1
#000000	50	0	validation	validation error: 1.8504	validation	40	2	2
#7F7F7F	50	0.15	train	train error: 2.0009	train	41	2	1
#000000	50	0	validation	validation error: 1.8776	validation	41	2	2
#7F7F7F	50	0.15	train	train error: 2.0959	train	42	2	1
#000000	50	0	validation	validation error: 1.9439	validation	42	2	2
#7F7F7F	50	0.15	train	train error: 2.1437	train	43	2	1
#000000	50	0	validation	validation error: 1.9858	validation	43	2	2
#7F7F7F	50	0.15	train	train error: 2.2026	train	44	2	1
#000000	50	0	validation	validation error: 2.0316	validation	44	2	2
#7F7F7F	50	0.15	train	train error: 2.2750	train	45	2	1
#000000	50	0	validation	validation error: 2.0876	validation	45	2	2
#7F7F7F	50	0.15	train	train error: 2.3949	train	46	2	1
#000000	50	0	validation	validation error: 2.1700	validation	46	2	2
#7F7F7F	50	0.15	train	train error: 2.4941	train	47	2	1
#000000	50	0	validation	validation error: 2.2542	validation	47	2	2
#7F7F7F	50	0.15	train	train error: 2.6533	train	48	2	1
#000000	50	0	validation	validation error: 2.3652	validation	48	2	2
#7F7F7F	50	0.15	train	train error: 2.7774	train	49	2	1
#000000	50	0	validation	validation error: 2.4945	validation	49	2	2
#7F7F7F	50	0.15	train	train error: 2.8941	train	50	2	1
#000000	50	0	validation	validation error: 2.6095	validation	50	2	2
#7F7F7F	50	0.15	train	train error: 0.0000	train	1	3	1
#000000	50	0	validation	validation error: 2.2528	validation	1	3	2
#7F7F7F	50	0.15	train	train error: 0.5162	train	2	3	1
#000000	50	0	validation	validation error: 1.4216	validation	2	3	2
#7F7F7F	50	0.15	train	train error: 0.6581	train	3	3	1
#000000	50	0	validation	validation error: 1.1371	validation	3	3	2
#7F7F7F	50	0.15	train	train error: 0.7657	train	4	3	1
#000000	50	0	validation	validation error: 1.0427	validation	4	3	2
#7F7F7F	50	0.15	train	train error: 0.7742	train	5	3	1
#000000	50	0	validation	validation error: 1.0067	validation	5	3	2
#7F7F7F	50	0.15	train	train error: 0.8664	train	6	3	1
#000000	50	0	validation	validation error: 1.1158	validation	6	3	2
#7F7F7F	50	0.15	train	train error: 0.9729	train	7	3	1
#000000	50	0	validation	validation error: 1.2175	validation	7	3	2
#7F7F7F	50	0.15	train	train error: 0.9797	train	8	3	1
#000000	50	0	validation	validation error: 1.3461	validation	8	3	2
#7F7F7F	50	0.15	train	train error: 1.0087	train	9	3	1
#000000	50	0	validation	validation error: 1.4720	validation	9	3	2
#7F7F7F	50	0.15	train	train error: 1.0208	train	10	3	1
#000000	50	0	validation	validation error: 1.5262	validation	10	3	2
#7F7F7F	50	0.15	train	train error: 1.1297	train	11	3	1
#000000	50	0	validation	validation error: 1.7379	validation	11	3	2
#7F7F7F	50	0.15	train	train error: 1.1702	train	12	3	1
#000000	50	0	validation	validation error: 1.8565	validation	12	3	2
#7F7F7F	50	0.15	train	train error: 1.1987	train	13	3	1
#000000	50	0	validation	validation error: 1.8250	validation	13	3	2
#7F7F7F	50	0.15	train	train error: 1.2766	train	14	3	1
#000000	50	0	validation	validation error: 1.9397	validation	14	3	2
#7F7F7F	50	0.15	train	train error: 1.3509	train	15	3	1
#000000	50	0	validation	validation error: 2.0778	validation	15	3	2
#7F7F7F	50	0.15	train	train error: 1.3749	train	16	3	1
#000000	50	0	validation	validation error: 2.1701	validation	16	3	2
#7F7F7F	50	0.15	train	train error: 1.4015	train	17	3	1
#000000	50	0	validation	validation error: 2.2909	validation	17	3	2
#7F7F7F	50	0.15	train	train error: 1.4339	train	18	3	1
#000000	50	0	validation	validation error: 2.3170	validation	18	3	2
#7F7F7F	50	0.15	train	train error: 1.5145	train	19	3	1
#000000	50	0	validation	validation error: 2.4918	validation	19	3	2
#7F7F7F	50	0.15	train	train error: 1.6345	train	20	3	1
#000000	50	0	validation	validation error: 2.6633	validation	20	3	2
#7F7F7F	50	0.15	train	train error: 1.7200	train	21	3	1
#000000	50	0	validation	validation error: 2.8285	validation	21	3	2
#7F7F7F	50	0.15	train	train error: 1.7599	train	22	3	1
#000000	50	0	validation	validation error: 2.9494	validation	22	3	2
#7F7F7F	50	0.15	train	train error: 1.8105	train	23	3	1
#000000	50	0	validation	validation error: 3.0594	validation	23	3	2
#7F7F7F	50	0.15	train	train error: 1.8282	train	24	3	1
#000000	50	0	validation	validation error: 3.1695	validation	24	3	2
#7F7F7F	50	0.15	train	train error: 1.8924	train	25	3	1
#000000	50	0	validation	validation error: 3.2642	validation	25	3	2
#7F7F7F	50	0.15	train	train error: 1.9206	train	26	3	1
#000000	50	0	validation	validation error: 3.3333	validation	26	3	2
#7F7F7F	50	0.15	train	train error: 1.9567	train	27	3	1
#000000	50	0	validation	validation error: 3.4201	validation	27	3	2
#7F7F7F	50	0.15	train	train error: 2.0073	train	28	3	1
#000000	50	0	validation	validation error: 3.5443	validation	28	3	2
#7F7F7F	50	0.15	train	train error: 2.1088	train	29	3	1
#000000	50	0	validation	validation error: 3.6816	validation	29	3	2
#7F7F7F	50	0.15	train	train error: 2.1761	train	30	3	1
#000000	50	0	validation	validation error: 3.7675	validation	30	3	2
#7F7F7F	50	0.15	train	train error: 2.2435	train	31	3	1
#000000	50	0	validation	validation error: 3.8716	validation	31	3	2
#7F7F7F	50	0.15	train	train error: 2.3504	train	32	3	1
#000000	50	0	validation	validation error: 4.0188	validation	32	3	2
#7F7F7F	50	0.15	train	train error: 2.4123	train	33	3	1
#000000	50	0	validation	validation error: 4.1101	validation	33	3	2
#7F7F7F	50	0.15	train	train error: 2.4635	train	34	3	1
#000000	50	0	validation	validation error: 4.1588	validation	34	3	2
#7F7F7F	50	0.15	train	train error: 2.5614	train	35	3	1
#000000	50	0	validation	validation error: 4.2880	validation	35	3	2
#7F7F7F	50	0.15	train	train error: 2.6653	train	36	3	1
#000000	50	0	validation	validation error: 4.4242	validation	36	3	2
#7F7F7F	50	0.15	train	train error: 2.7856	train	37	3	1
#000000	50	0	validation	validation error: 4.5372	validation	37	3	2
#7F7F7F	50	0.15	train	train error: 2.8386	train	38	3	1
#000000	50	0	validation	validation error: 4.6113	validation	38	3	2
#7F7F7F	50	0.15	train	train error: 2.8851	train	39	3	1
#000000	50	0	validation	validation error: 4.6709	validation	39	3	2
#7F7F7F	50	0.15	train	train error: 2.9634	train	40	3	1
#000000	50	0	validation	validation error: 4.7556	validation	40	3	2
#7F7F7F	50	0.15	train	train error: 3.0291	train	41	3	1
#000000	50	0	validation	validation error: 4.8587	validation	41	3	2
#7F7F7F	50	0.15	train	train error: 3.1036	train	42	3	1
#000000	50	0	validation	validation error: 4.9408	validation	42	3	2
#7F7F7F	50	0.15	train	train error: 3.1953	train	43	3	1
#000000	50	0	validation	validation error: 5.0563	validation	43	3	2
#7F7F7F	50	0.15	train	train error: 3.2392	train	44	3	1
#000000	50	0	validation	validation error: 5.1324	validation	44	3	2
#7F7F7F	50	0.15	train	train error: 3.2772	train	45	3	1
#000000	50	0	validation	validation error: 5.1978	validation	45	3	2
#7F7F7F	50	0.15	train	train error: 3.3552	train	46	3	1
#000000	50	0	validation	validation error: 5.2793	validation	46	3	2
#7F7F7F	50	0.15	train	train error: 3.4146	train	47	3	1
#000000	50	0	validation	validation error: 5.3527	validation	47	3	2
#7F7F7F	50	0.15	train	train error: 3.4580	train	48	3	1
#000000	50	0	validation	validation error: 5.3935	validation	48	3	2
#7F7F7F	50	0.15	train	train error: 3.4811	train	49	3	1
#000000	50	0	validation	validation error: 5.4297	validation	49	3	2
#7F7F7F	50	0.15	train	train error: 3.5509	train	50	3	1
#000000	50	0	validation	validation error: 5.5110	validation	50	3	2
#7F7F7F	50	0.15	train	train error: 0.0000	train	1	4	1
#000000	50	0	validation	validation error: 1.8662	validation	1	4	2
#7F7F7F	50	0.15	train	train error: 0.6593	train	2	4	1
#000000	50	0	validation	validation error: 1.8474	validation	2	4	2
#7F7F7F	50	0.15	train	train error: 0.8762	train	3	4	1
#000000	50	0	validation	validation error: 1.6232	validation	3	4	2
#7F7F7F	50	0.15	train	train error: 1.0896	train	4	4	1
#000000	50	0	validation	validation error: 1.4351	validation	4	4	2
#7F7F7F	50	0.15	train	train error: 1.1781	train	5	4	1
#000000	50	0	validation	validation error: 1.3782	validation	5	4	2
#7F7F7F	50	0.15	train	train error: 1.2860	train	6	4	1
#000000	50	0	validation	validation error: 1.3833	validation	6	4	2
#7F7F7F	50	0.15	train	train error: 1.2441	train	7	4	1
#000000	50	0	validation	validation error: 1.3544	validation	7	4	2
#7F7F7F	50	0.15	train	train error: 1.2982	train	8	4	1
#000000	50	0	validation	validation error: 1.4169	validation	8	4	2
#7F7F7F	50	0.15	train	train error: 1.3337	train	9	4	1
#000000	50	0	validation	validation error: 1.4243	validation	9	4	2
#7F7F7F	50	0.15	train	train error: 1.3062	train	10	4	1
#000000	50	0	validation	validation error: 1.3760	validation	10	4	2
#7F7F7F	50	0.15	train	train error: 1.3029	train	11	4	1
#000000	50	0	validation	validation error: 1.3095	validation	11	4	2
#7F7F7F	50	0.15	train	train error: 1.2568	train	12	4	1
#000000	50	0	validation	validation error: 1.3142	validation	12	4	2
#7F7F7F	50	0.15	train	train error: 1.2619	train	13	4	1
#000000	50	0	validation	validation error: 1.3005	validation	13	4	2
#7F7F7F	50	0.15	train	train error: 1.3396	train	14	4	1
#000000	50	0	validation	validation error: 1.3100	validation	14	4	2
#7F7F7F	50	0.15	train	train error: 1.3167	train	15	4	1
#000000	50	0	validation	validation error: 1.3590	validation	15	4	2
#7F7F7F	50	0.15	train	train error: 1.3635	train	16	4	1
#000000	50	0	validation	validation error: 1.4393	validation	16	4	2
#7F7F7F	50	0.15	train	train error: 1.3724	train	17	4	1
#000000	50	0	validation	validation error: 1.4764	validation	17	4	2
#7F7F7F	50	0.15	train	train error: 1.4093	train	18	4	1
#000000	50	0	validation	validation error: 1.4884	validation	18	4	2
#7F7F7F	50	0.15	train	train error: 1.4707	train	19	4	1
#000000	50	0	validation	validation error: 1.4597	validation	19	4	2
#7F7F7F	50	0.15	train	train error: 1.5103	train	20	4	1
#000000	50	0	validation	validation error: 1.4249	validation	20	4	2
#7F7F7F	50	0.15	train	train error: 1.5581	train	21	4	1
#000000	50	0	validation	validation error: 1.3906	validation	21	4	2
#7F7F7F	50	0.15	train	train error: 1.5936	train	22	4	1
#000000	50	0	validation	validation error: 1.4031	validation	22	4	2
#7F7F7F	50	0.15	train	train error: 1.5759	train	23	4	1
#000000	50	0	validation	validation error: 1.4080	validation	23	4	2
#7F7F7F	50	0.15	train	train error: 1.5666	train	24	4	1
#000000	50	0	validation	validation error: 1.4286	validation	24	4	2
#7F7F7F	50	0.15	train	train error: 1.6123	train	25	4	1
#000000	50	0	validation	validation error: 1.4372	validation	25	4	2
#7F7F7F	50	0.15	train	train error: 1.6413	train	26	4	1
#000000	50	0	validation	validation error: 1.4518	validation	26	4	2
#7F7F7F	50	0.15	train	train error: 1.7044	train	27	4	1
#000000	50	0	validation	validation error: 1.5189	validation	27	4	2
#7F7F7F	50	0.15	train	train error: 1.7889	train	28	4	1
#000000	50	0	validation	validation error: 1.5911	validation	28	4	2
#7F7F7F	50	0.15	train	train error: 1.8691	train	29	4	1
#000000	50	0	validation	validation error: 1.6628	validation	29	4	2
#7F7F7F	50	0.15	train	train error: 1.9743	train	30	4	1
#000000	50	0	validation	validation error: 1.7484	validation	30	4	2
#7F7F7F	50	0.15	train	train error: 2.0383	train	31	4	1
#000000	50	0	validation	validation error: 1.8074	validation	31	4	2
#7F7F7F	50	0.15	train	train error: 2.1031	train	32	4	1
#000000	50	0	validation	validation error: 1.9311	validation	32	4	2
#7F7F7F	50	0.15	train	train error: 2.1420	train	33	4	1
#000000	50	0	validation	validation error: 1.9888	validation	33	4	2
#7F7F7F	50	0.15	train	train error: 2.2249	train	34	4	1
#000000	50	0	validation	validation error: 2.0380	validation	34	4	2
#7F7F7F	50	0.15	train	train error: 2.3126	train	35	4	1
#000000	50	0	validation	validation error: 2.1368	validation	35	4	2
#7F7F7F	50	0.15	train	train error: 2.3745	train	36	4	1
#000000	50	0	validation	validation error: 2.2380	validation	36	4	2
#7F7F7F	50	0.15	train	train error: 2.4435	train	37	4	1
#000000	50	0	validation	validation error: 2.2871	validation	37	4	2
#7F7F7F	50	0.15	train	train error: 2.5633	train	38	4	1
#000000	50	0	validation	validation error: 2.3939	validation	38	4	2
#7F7F7F	50	0.15	train	train error: 2.7082	train	39	4	1
#000000	50	0	validation	validation error: 2.5296	validation	39	4	2
#7F7F7F	50	0.15	train	train error: 2.7715	train	40	4	1
#000000	50	0	validation	validation error: 2.6021	validation	40	4	2
#7F7F7F	50	0.15	train	train error: 2.8039	train	41	4	1
#000000	50	0	validation	validation error: 2.6504	validation	41	4	2
#7F7F7F	50	0.15	train	train error: 3.0056	train	42	4	1
#000000	50	0	validation	validation error: 2.8409	validation	42	4	2
#7F7F7F	50	0.15	train	train error: 3.0808	train	43	4	1
#000000	50	0	validation	validation error: 2.9124	validation	43	4	2
#7F7F7F	50	0.15	train	train error: 3.1422	train	44	4	1
#000000	50	0	validation	validation error: 2.9530	validation	44	4	2
#7F7F7F	50	0.15	train	train error: 3.1167	train	45	4	1
#000000	50	0	validation	validation error: 2.9616	validation	45	4	2
#7F7F7F	50	0.15	train	train error: 3.2860	train	46	4	1
#000000	50	0	validation	validation error: 3.1372	validation	46	4	2
#7F7F7F	50	0.15	train	train error: 3.3033	train	47	4	1
#000000	50	0	validation	validation error: 3.1981	validation	47	4	2
#7F7F7F	50	0.15	train	train error: 3.3815	train	48	4	1
#000000	50	0	validation	validation error: 3.2893	validation	48	4	2
#7F7F7F	50	0.15	train	train error: 3.5004	train	49	4	1
#000000	50	0	validation	validation error: 3.3956	validation	49	4	2
#7F7F7F	50	0.15	train	train error: 3.6118	train	50	4	1
#000000	50	0	validation	validation error: 3.5134	validation	50	4	2
