colour	x	y	key	label	showSelectedlegendcolour	showSelected1	PANEL	group
#7F7F7F	50	0.15	train	train error: 0.0000	train	1	1	1
#000000	50	0	validation	validation error: 1.7599	validation	1	1	2
#7F7F7F	50	0.15	train	train error: 0.3040	train	2	1	1
#000000	50	0	validation	validation error: 1.5931	validation	2	1	2
#7F7F7F	50	0.15	train	train error: 0.5526	train	3	1	1
#000000	50	0	validation	validation error: 1.1235	validation	3	1	2
#7F7F7F	50	0.15	train	train error: 0.6845	train	4	1	1
#000000	50	0	validation	validation error: 1.0809	validation	4	1	2
#7F7F7F	50	0.15	train	train error: 0.8115	train	5	1	1
#000000	50	0	validation	validation error: 0.8971	validation	5	1	2
#7F7F7F	50	0.15	train	train error: 0.9234	train	6	1	1
#000000	50	0	validation	validation error: 0.7857	validation	6	1	2
#7F7F7F	50	0.15	train	train error: 0.8971	train	7	1	1
#000000	50	0	validation	validation error: 0.8438	validation	7	1	2
#7F7F7F	50	0.15	train	train error: 0.8666	train	8	1	1
#000000	50	0	validation	validation error: 0.8868	validation	8	1	2
#7F7F7F	50	0.15	train	train error: 0.8326	train	9	1	1
#000000	50	0	validation	validation error: 0.8685	validation	9	1	2
#7F7F7F	50	0.15	train	train error: 0.8666	train	10	1	1
#000000	50	0	validation	validation error: 0.8623	validation	10	1	2
#7F7F7F	50	0.15	train	train error: 0.8651	train	11	1	1
#000000	50	0	validation	validation error: 0.8360	validation	11	1	2
#7F7F7F	50	0.15	train	train error: 0.8824	train	12	1	1
#000000	50	0	validation	validation error: 0.8698	validation	12	1	2
#7F7F7F	50	0.15	train	train error: 0.9044	train	13	1	1
#000000	50	0	validation	validation error: 0.8589	validation	13	1	2
#7F7F7F	50	0.15	train	train error: 0.8970	train	14	1	1
#000000	50	0	validation	validation error: 0.8696	validation	14	1	2
#7F7F7F	50	0.15	train	train error: 0.8885	train	15	1	1
#000000	50	0	validation	validation error: 0.8825	validation	15	1	2
#7F7F7F	50	0.15	train	train error: 0.9070	train	16	1	1
#000000	50	0	validation	validation error: 0.8784	validation	16	1	2
#7F7F7F	50	0.15	train	train error: 0.8954	train	17	1	1
#000000	50	0	validation	validation error: 0.8809	validation	17	1	2
#7F7F7F	50	0.15	train	train error: 0.9092	train	18	1	1
#000000	50	0	validation	validation error: 0.8851	validation	18	1	2
#7F7F7F	50	0.15	train	train error: 0.9068	train	19	1	1
#000000	50	0	validation	validation error: 0.8820	validation	19	1	2
#7F7F7F	50	0.15	train	train error: 0.9054	train	20	1	1
#000000	50	0	validation	validation error: 0.9083	validation	20	1	2
#7F7F7F	50	0.15	train	train error: 0.8978	train	21	1	1
#000000	50	0	validation	validation error: 0.9041	validation	21	1	2
#7F7F7F	50	0.15	train	train error: 0.8964	train	22	1	1
#000000	50	0	validation	validation error: 0.8979	validation	22	1	2
#7F7F7F	50	0.15	train	train error: 0.8962	train	23	1	1
#000000	50	0	validation	validation error: 0.9120	validation	23	1	2
#7F7F7F	50	0.15	train	train error: 0.8951	train	24	1	1
#000000	50	0	validation	validation error: 0.9009	validation	24	1	2
#7F7F7F	50	0.15	train	train error: 0.9210	train	25	1	1
#000000	50	0	validation	validation error: 0.8995	validation	25	1	2
#7F7F7F	50	0.15	train	train error: 0.9220	train	26	1	1
#000000	50	0	validation	validation error: 0.8818	validation	26	1	2
#7F7F7F	50	0.15	train	train error: 0.9175	train	27	1	1
#000000	50	0	validation	validation error: 0.8692	validation	27	1	2
#7F7F7F	50	0.15	train	train error: 0.9071	train	28	1	1
#000000	50	0	validation	validation error: 0.8532	validation	28	1	2
#7F7F7F	50	0.15	train	train error: 0.9006	train	29	1	1
#000000	50	0	validation	validation error: 0.8544	validation	29	1	2
#7F7F7F	50	0.15	train	train error: 0.9061	train	30	1	1
#000000	50	0	validation	validation error: 0.8643	validation	30	1	2
#7F7F7F	50	0.15	train	train error: 0.9051	train	31	1	1
#000000	50	0	validation	validation error: 0.8689	validation	31	1	2
#7F7F7F	50	0.15	train	train error: 0.9254	train	32	1	1
#000000	50	0	validation	validation error: 0.8639	validation	32	1	2
#7F7F7F	50	0.15	train	train error: 0.9391	train	33	1	1
#000000	50	0	validation	validation error: 0.8468	validation	33	1	2
#7F7F7F	50	0.15	train	train error: 0.9290	train	34	1	1
#000000	50	0	validation	validation error: 0.8372	validation	34	1	2
#7F7F7F	50	0.15	train	train error: 0.9281	train	35	1	1
#000000	50	0	validation	validation error: 0.8366	validation	35	1	2
#7F7F7F	50	0.15	train	train error: 0.9300	train	36	1	1
#000000	50	0	validation	validation error: 0.8248	validation	36	1	2
#7F7F7F	50	0.15	train	train error: 0.9325	train	37	1	1
#000000	50	0	validation	validation error: 0.8310	validation	37	1	2
#7F7F7F	50	0.15	train	train error: 0.9287	train	38	1	1
#000000	50	0	validation	validation error: 0.8287	validation	38	1	2
#7F7F7F	50	0.15	train	train error: 0.9288	train	39	1	1
#000000	50	0	validation	validation error: 0.8234	validation	39	1	2
#7F7F7F	50	0.15	train	train error: 0.9281	train	40	1	1
#000000	50	0	validation	validation error: 0.8119	validation	40	1	2
#7F7F7F	50	0.15	train	train error: 0.9201	train	41	1	1
#000000	50	0	validation	validation error: 0.8231	validation	41	1	2
#7F7F7F	50	0.15	train	train error: 0.9207	train	42	1	1
#000000	50	0	validation	validation error: 0.8268	validation	42	1	2
#7F7F7F	50	0.15	train	train error: 0.9198	train	43	1	1
#000000	50	0	validation	validation error: 0.8218	validation	43	1	2
#7F7F7F	50	0.15	train	train error: 0.9136	train	44	1	1
#000000	50	0	validation	validation error: 0.8272	validation	44	1	2
#7F7F7F	50	0.15	train	train error: 0.9194	train	45	1	1
#000000	50	0	validation	validation error: 0.8208	validation	45	1	2
#7F7F7F	50	0.15	train	train error: 0.9292	train	46	1	1
#000000	50	0	validation	validation error: 0.8174	validation	46	1	2
#7F7F7F	50	0.15	train	train error: 0.9306	train	47	1	1
#000000	50	0	validation	validation error: 0.8155	validation	47	1	2
#7F7F7F	50	0.15	train	train error: 0.9301	train	48	1	1
#000000	50	0	validation	validation error: 0.8157	validation	48	1	2
#7F7F7F	50	0.15	train	train error: 0.9273	train	49	1	1
#000000	50	0	validation	validation error: 0.8221	validation	49	1	2
#7F7F7F	50	0.15	train	train error: 0.9272	train	50	1	1
#000000	50	0	validation	validation error: 0.8224	validation	50	1	2
#7F7F7F	50	0.15	train	train error: 0.0000	train	1	2	1
#000000	50	0	validation	validation error: 2.6805	validation	1	2	2
#7F7F7F	50	0.15	train	train error: 0.4545	train	2	2	1
#000000	50	0	validation	validation error: 2.1598	validation	2	2	2
#7F7F7F	50	0.15	train	train error: 0.6507	train	3	2	1
#000000	50	0	validation	validation error: 1.7591	validation	3	2	2
#7F7F7F	50	0.15	train	train error: 0.7073	train	4	2	1
#000000	50	0	validation	validation error: 1.7787	validation	4	2	2
#7F7F7F	50	0.15	train	train error: 0.7197	train	5	2	1
#000000	50	0	validation	validation error: 1.7811	validation	5	2	2
#7F7F7F	50	0.15	train	train error: 0.7337	train	6	2	1
#000000	50	0	validation	validation error: 1.6407	validation	6	2	2
#7F7F7F	50	0.15	train	train error: 0.7368	train	7	2	1
#000000	50	0	validation	validation error: 1.5319	validation	7	2	2
#7F7F7F	50	0.15	train	train error: 0.7854	train	8	2	1
#000000	50	0	validation	validation error: 1.4626	validation	8	2	2
#7F7F7F	50	0.15	train	train error: 0.7660	train	9	2	1
#000000	50	0	validation	validation error: 1.4439	validation	9	2	2
#7F7F7F	50	0.15	train	train error: 0.7983	train	10	2	1
#000000	50	0	validation	validation error: 1.3944	validation	10	2	2
#7F7F7F	50	0.15	train	train error: 0.7963	train	11	2	1
#000000	50	0	validation	validation error: 1.3886	validation	11	2	2
#7F7F7F	50	0.15	train	train error: 0.8159	train	12	2	1
#000000	50	0	validation	validation error: 1.3978	validation	12	2	2
#7F7F7F	50	0.15	train	train error: 0.8472	train	13	2	1
#000000	50	0	validation	validation error: 1.3900	validation	13	2	2
#7F7F7F	50	0.15	train	train error: 0.8760	train	14	2	1
#000000	50	0	validation	validation error: 1.3695	validation	14	2	2
#7F7F7F	50	0.15	train	train error: 0.8689	train	15	2	1
#000000	50	0	validation	validation error: 1.3861	validation	15	2	2
#7F7F7F	50	0.15	train	train error: 0.8474	train	16	2	1
#000000	50	0	validation	validation error: 1.3749	validation	16	2	2
#7F7F7F	50	0.15	train	train error: 0.9026	train	17	2	1
#000000	50	0	validation	validation error: 1.3731	validation	17	2	2
#7F7F7F	50	0.15	train	train error: 0.9081	train	18	2	1
#000000	50	0	validation	validation error: 1.3786	validation	18	2	2
#7F7F7F	50	0.15	train	train error: 0.9101	train	19	2	1
#000000	50	0	validation	validation error: 1.4163	validation	19	2	2
#7F7F7F	50	0.15	train	train error: 0.9227	train	20	2	1
#000000	50	0	validation	validation error: 1.4014	validation	20	2	2
#7F7F7F	50	0.15	train	train error: 0.9389	train	21	2	1
#000000	50	0	validation	validation error: 1.4398	validation	21	2	2
#7F7F7F	50	0.15	train	train error: 0.9502	train	22	2	1
#000000	50	0	validation	validation error: 1.4476	validation	22	2	2
#7F7F7F	50	0.15	train	train error: 0.9539	train	23	2	1
#000000	50	0	validation	validation error: 1.4229	validation	23	2	2
#7F7F7F	50	0.15	train	train error: 0.9722	train	24	2	1
#000000	50	0	validation	validation error: 1.4232	validation	24	2	2
#7F7F7F	50	0.15	train	train error: 1.0094	train	25	2	1
#000000	50	0	validation	validation error: 1.3921	validation	25	2	2
#7F7F7F	50	0.15	train	train error: 1.0633	train	26	2	1
#000000	50	0	validation	validation error: 1.4127	validation	26	2	2
#7F7F7F	50	0.15	train	train error: 1.1039	train	27	2	1
#000000	50	0	validation	validation error: 1.3917	validation	27	2	2
#7F7F7F	50	0.15	train	train error: 1.1668	train	28	2	1
#000000	50	0	validation	validation error: 1.4351	validation	28	2	2
#7F7F7F	50	0.15	train	train error: 1.2116	train	29	2	1
#000000	50	0	validation	validation error: 1.4443	validation	29	2	2
#7F7F7F	50	0.15	train	train error: 1.2566	train	30	2	1
#000000	50	0	validation	validation error: 1.4818	validation	30	2	2
